Model,Name,Odometer,VIN,BidType,Ammount,BuyerName
,,,,SOLD,"$30,000","FREEMAN MOTORS INC"
2015,"SCION FR",17529,JF1ZNAA17F8708588,,,
,,,,SOLD,"$19,000","DUBLIN TOYOTA"
2015,"TOYOTA CAMRY 4C LE",16289,4T4BF1FK5FR479315,,,
,,,,SOLD,"$14,800","797 TOYOTA 101"
2012,"TOYOTA CAMRY 4C SE",37183,4T1BF1FK1CU163321,,,
,,,,Bid,"$14,000","MENDO MOTORS INC"
,,,,SOLD,"$13,900","UNKNOWN"
2011,"TOYOTA RAV4 FWD V6 LIMITED",41385,2T3YK4DV5BW011830,,,
,,,,Bid,"$16,900","JIMMY VASSER TOYOTA"
,,,,SOLD,"$16,900","JIMMY VASSER TOYOTA"
2015,"TOYOTA CAMRY 4C LE",15735,4T4BF1FK2FR478624,,,
,,,,SOLD,"$15,300","NINO QUALITY MOTORS INC"
2015,"TOYOTA CAMRY 4C LE",15220,4T4BF1FK8FR479650,,,
,,,,SOLD,"$15,500","TOYOTA WALNUT CREEK"
2015,"TOYOTA CAMRY 4C LE",15955,4T4BF1FK4FR478625,,,
,,,,SOLD,"$15,400","DUBLIN TOYOTA"
2015,"TOYOTA CAMRY 4C LE",18068,4T1BF1FK6FU932948,,,
,,,,Bid,"$15,400","MAZDA VACAVILLE"
,,,,SOLD,"$15,400","MAZDA VACAVILLE"
2015,"TOYOTA CAMRY 4C LE",17716,4T4BF1FK1FR481031,,,
,,,,Bid,"$15,200","MAZDA VACAVILLE"
,,,,SOLD,"$15,400","DUBLIN TOYOTA"
2015,"TOYOTA CAMRY 4C LE",12939,4T4BF1FK4FR480228,,,
,,,,SOLD,"$15,300","TOYOTA WALNUT CREEK"
2015,"TOYOTA CAMRY 4C LE",20630,4T4BF1FK1FR477738,,,
,,,,SOLD,"$15,300","DUBLIN TOYOTA"
2015,"TOYOTA CAMRY 4C LE",16513,4T1BF1FK2FU044164,,,
,,,,Bid,"$15,300","CLAWSON HONDA OF FRESNO"
